GA_loop.thisRepN,GA_loop.thisTrialN,GA_loop.thisN,GA_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,spatial_freq.routineEndVal,aperture.started,aperture.stopped,position.routineEndVal,placeholder.started,placeholder.stopped,participant,session,stimulus size,start spatial freq,step spatial freq,end spatial freq,stimulus duration,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,0.8,13.887694500008365,14.902979400008917,"(-16, 0)",14.902979400008917,,757279,001,8.5,0.8,1,25.6,1,2023-03-14_21h32.39.051,iva,2022.2.5,143.8252925130116,
0,0,0,0,1,0,1,0,,15.896839900000487,16.8951270999969,"(16, 0)",16.8951270999969,,757279,001,8.5,0.8,1,25.6,1,2023-03-14_21h32.39.051,iva,2022.2.5,143.8252925130116,
0,0,0,0,2,0,2,0,,17.903905099999974,18.905204599999706,"(-16, 0)",18.905204599999706,19.910882199998014,757279,001,8.5,0.8,1,25.6,1,2023-03-14_21h32.39.051,iva,2022.2.5,143.8252925130116,
0,0,0,0,3,0,3,0,,19.910882199998014,20.913116399999126,"(16, 0)",20.913116399999126,21.919357699996908,757279,001,8.5,0.8,1,25.6,1,2023-03-14_21h32.39.051,iva,2022.2.5,143.8252925130116,
1,0,1,0,0,0,0,0,1.8,21.919357699996908,22.920743700000457,"(-16, 0)",22.920743700000457,23.924169500009157,757279,001,8.5,0.8,1,25.6,1,2023-03-14_21h32.39.051,iva,2022.2.5,143.8252925130116,
1,0,1,0,1,0,1,0,,23.924169500009157,24.92067490000045,"(16, 0)",24.92067490000045,25.92402890000085,757279,001,8.5,0.8,1,25.6,1,2023-03-14_21h32.39.051,iva,2022.2.5,143.8252925130116,
1,0,1,0,2,0,2,0,,25.92402890000085,26.921541800009436,"(-16, 0)",26.921541800009436,,757279,001,8.5,0.8,1,25.6,1,2023-03-14_21h32.39.051,iva,2022.2.5,143.8252925130116,
1,0,1,0,3,0,3,0,,27.930890900010127,28.930094700001064,"(16, 0)",28.930094700001064,29.94079039999633,757279,001,8.5,0.8,1,25.6,1,2023-03-14_21h32.39.051,iva,2022.2.5,143.8252925130116,
2,0,2,0,0,0,0,0,2.8,29.94079039999633,30.939223100009258,"(16, 0)",30.939223100009258,31.94698700000299,757279,001,8.5,0.8,1,25.6,1,2023-03-14_21h32.39.051,iva,2022.2.5,143.8252925130116,
2,0,2,0,1,0,1,0,,31.94698700000299,32.94269750000967,"(-16, 0)",32.94269750000967,,757279,001,8.5,0.8,1,25.6,1,2023-03-14_21h32.39.051,iva,2022.2.5,143.8252925130116,
2,0,2,0,2,0,2,0,,33.95275789999869,34.95637880000868,"(-16, 0)",34.95637880000868,,757279,001,8.5,0.8,1,25.6,1,2023-03-14_21h32.39.051,iva,2022.2.5,143.8252925130116,
,,,,,,,,,35.96650570000929,36.968404300001566,"(-16, 0)",36.968404300001566,,,,,,,,,,,,,
